Kode,village,longitude,latitude,EC,TDS,F,NO3,pH
1,Adilabad,78.5247,19.6683,1407,900.48,0.34,943.377,8.21
2,Bazarhatnur,78.35083,19.45889,1620,1036.8,0.34,1731.739,8.29
3,Gudihatnoor,78.51222,19.52556,959,613.76,0.62,4123.399,8.34
4,Jainath,78.64,19.73056,509,325.76,0.91,1926.615,8.22
5,Narnoor,78.85265,19.49567,550,352,1.23,3242.028,8.29
6,Neradigonda,78.41216,19.29375,1041,666.24,0.46,429.613,8.19
7,Talamadugu,78.3969,19.6334,1970,1260.8,0.83,1310.984,8.33
8,Tamsi,78.4268,19.6811,800,512,1.51,4291.701,8.32
9,Utnoor,78.7685,19.3789,459,293.76,1.15,13.287,8.31
10,Annapureddypalli,80.8261,17.35452,280,179.2,0.08,376.465,8.33
11,Aswapuram,80.80924,17.84168,1871,1197.44,0.46,168.302,8.05
12,Bhadrachalam,80.90092,17.66678,1167,746.88,0.77,553.625,8.34
13,M.Banjara,80.7911,17.6447,2030,1299.2,1.52,172.731,7.99
14,Ravikampadu,80.6106,17.3986,2810,1798.4,0.54,6089.875,8.09
15,Kanchanapalli,80.42,17.79,895,572.8,0.51,190.447,8.22
16,P. Narsapuram,80.52032,17.43817,4050,2592,0.64,575.77,8.23
17,Karakagudem,80.56815,18.03466,854,546.56,0.27,128.441,7.99
18,Laxmidevipalli,80.619,17.573,1310,838.4,0.31,101.867,8.75
19,Pagideru,80.73,17.97,1128,721.92,1.22,22.145,7.94
20,REGELLA,80.58,17.95,222,142.08,0.16,75.293,8.25
21,Bethampudi,80.45,17.56,2020,1292.8,0.5,1882.325,7.75
22,Mutyalampadu,80.5,17.54,2680,1715.2,4.6,952.235,8.25
23,Komararam,80.32,17.71,584,373.76,2.2,376.465,7.98
24,Chelpur(D),79.8535,18.36855,259,165.76,0.34,1005.383,8.21
25,Shankarampally 125(D),79.8983,18.6022,496,317.44,0.43,1997.479,8
26,Ambatipalli,80.06186,18.69568,210,134.4,0.05,2351.799,8.01
27,Regonda,79.7775,18.24,270,172.8,0.06,363.178,7.76
28,S.R.Nagar,78.44392,17.44233,697,446.08,1.28,5381.235,6.84
29,Himayanagar,78.44525,17.39764,536,343.04,0.64,4.429,7.47
30,Kulsanapur,78.437,17.374,1026,656.64,1.09,79.722,8.44
31,Chandraingutta,78.484,17.333,1085,694.4,0.73,2502.385,7.56
32,Darul Shifa,78.485,17.381,828,529.92,0.86,31.003,8.11
33,Maredpally(s),78.509,17.441,853,545.92,1.91,163.873,7.75
34,Nampally,78.474,17.385,908,581.12,0.89,26.574,8.65
35,Juvinile home,78.508,17.361,1061,679.04,1.19,5425.525,8.23
36,Dharmapuri,79.10194,18.94694,1729,978.56,0.55,806.078,8.1
37,Gollapalli,79.0522,18.7906,994,572.16,1.36,3578.632,8.12
38,Ibrahimpatnam,78.57944,18.89861,1073,686.72,2.81,1293.268,8.14
39,Jagityal,78.8461,18.8252,936,599.04,0.15,1784.887,7.96
40,Kathalapur,78.68972,18.75278,1214,776.96,1.06,3343.895,7.99
41,Chepial,78.93583,18.62472,1152,553.6,1.36,876.942,8.17
42,Korutla,78.70639,18.81861,1186,759.04,1.82,2272.077,8.07
